scenario_id,npv_eur,cost_reduction_vs_baseline_pct,opex_reduction_vs_baseline_pct,payback_years,total_capex_eur,total_opex_5yr_eur_nominal,total_opex_5yr_eur_pv,pipeline_version,cost_per_order_eur,n_simulation_runs,throughput_mean_orders_per_shift,throughput_std_orders_per_shift,total_cost_reduction_vs_baseline_pct
S-baseline-human,-1726402.800127115,0.0,0.0,,0.0,2170163.1134885624,1726402.800127115,0.2.0,1.4444032811320233,15,948.6,33.551240130369465,-0.0
S-future-2028,-2532753.281256927,33.6,33.6,9.4,1365348.5576923075,1491506.381159948,1187850.265486499,0.2.0,2.12023238709431,15,948.0666666666667,35.39868170803352,-46.7
S-hybrid-5050,-5251641.284207272,-79.6,-79.6,,2051609.375,4060756.6759917554,3232517.603594259,0.2.0,4.4114831426549275,15,944.8,32.120754305321924,-204.2
S-hybrid-amr,-3841112.9249132467,11.8,11.8,45.3,2311609.375,1973028.7625031932,1571942.7735568515,0.2.0,3.2440078618328463,15,939.7333333333333,30.508702895746854,-122.5
S-lean-human,-647401.0500476682,64.3,64.3,0.0,0.0,813811.1675582108,647401.0500476682,0.2.0,0.5425663750588057,15,947.0,32.43454948045371,62.5
S-pure-humanoid,-2877837.43403249,51.2,51.2,9.2,2051609.375,1076782.3949449824,858713.7534194756,0.2.0,2.406572734810883,15,949.0666666666667,41.54767771861051,-66.7
