scenario_id,target_rho,total_agents,bottleneck_agent_type,bottleneck_cycle_time_seconds,lambda_max_per_hour,capacity_orders_per_shift,observed_throughput_mean,observed_throughput_std,n_runs_at_ceiling
S-baseline-human,0.85,8,human,62.5,391.67999999999995,3133.4399999999996,3071.4,56.425171687820324,5
S-lean-human,0.85,3,human,62.5,146.88,1175.04,1180.0,27.4135003237456,5
S-pure-humanoid,0.85,11,humanoid,277.5551341178163,121.27320255481939,970.1856204385551,953.6,18.76965636339675,5
S-hybrid-5050,0.85,22,humanoid,277.5551341178163,242.54640510963878,1940.3712408771103,1914.4,59.55501658130908,5
S-hybrid-amr,0.85,18,humanoid,277.5551341178163,198.4470587260681,1587.5764698085447,1585.8,54.55914222199612,5
S-future-2028,0.85,12,humanoid,213.50394932139713,171.9874508959257,1375.8996071674055,1360.6,26.76378149664206,5
